1) Title: Sony MDR-1RBT; Points: 339 points; Price: $189.99
2) Title: Sony MDR-X10; Points: 313 points; Price: $112.00
3) Title: Yamaha Pro 400; Points: 303 points; Price: $149.99
4) Title: Focal Spirit Classic; Points: 300 points; Price: $399.00
5) Title: Yamaha Pro 500; Points: 300 points; Price: $377.77
6) Title: Sony MDR-1R; Points: 299 points; Price: undefined
-->7) Title: Yamaha Pro 300; Points: 299 points; Price: $93.98
8) Title: Sony MDR-7520; Points: 297 points; Price: $368.95
-->9) Title: Sony XBA-2iP; Points: 297 points; Price: $31.00
10) Title: KEF M500; Points: 295 points; Price: $299.99
-->11) Title: Sony MDR-X05; Points: 289 points; Price: $63.75
12) Title: Philips Fidelio L2; Points: 288 points; Price: $265.33
-->13) Title: Philips SHL5505; Points: 287 points; Price: $44.99
14) Title: Bowers & Wilkins P5; Points: 287 points; Price: $349.00
-->15) Title: V-Moda Remix Remote; Points: 286 points; Price: $74.99
-->16) Title: Sony MDR-XB800; Points: 285 points; Price: $89.49
17) Title: Bowers & Wilkins P7; Points: 281 points; Price: $349.00
18) Title: Pioneer HDJ-C70; Points: 282 points; Price: undefined
19) Title: Philips CitiScape Uptown; Points: 282 points; Price: $378.00
20) Title: Klipsch R6i; Points: 280 points; Price: undefined
-->21) Title: Klipsch R6; Points: 280 points; Price: $73.95
-->22) Title: Philips Fidelio S1; Points: 281 points; Price: $73.48
-->23) Title: Philips Fidelio M1BT; Points: 281 points; Price: $79.95
24) Title: V-Moda XS; Points: 281 points; Price: $199.99
-->25) Title: Philips SHB8000; Points: 280 points; Price: $59.99
-->26) Title: Able Planet SI1100; Points: 279 points; Price: $89.00
27) Title: Philips SHE9055; Points: 279 points; Price: undefined
28) Title: Ultrasone IQ; Points: 279 points; Price: $847.99
-->29) Title: Sony MDR-ZX300iP; Points: 279 points; Price: $24.99
30) Title: Shure SRH1540; Points: 278 points; Price: $499.00
31) Title: Sony XBA-3iP; Points: 276 points; Price: $218.00
32) Title: Onkyo ES-CTI300; Points: 274 points; Price: $199.00
-->33) Title: Griffin WoodTones with Control Mic; Points: 275 points; Price: $22.99
-->34) Title: Sony MDR-XB30EX; Points: 276 points; Price: $33.76
35) Title: Philips Fidelio L1; Points: 275 points; Price: $270.00
36) Title: KEF M200; Points: 273 points; Price: $199.99
-->37) Title: Klipsch Image ONE (II); Points: 273 points; Price: $5.59
38) Title: V-Moda Crossfade M-100; Points: 273 points; Price: $299.99
-->39) Title: Sony MDR-XB60EX/GLD; Points: 273 points; Price: $48.93
40) Title: Beyerdynamic DT 660 Edition; Points: 272 points; Price: $139.00
-->41) Title: Skullcandy Hesh 2; Points: 273 points; Price: $40.30
-->42) Title: Klipsch Image S4i Rugged; Points: 270 points; Price: $58.90
43) Title: AKG K267 Tiesto; Points: 269 points; Price: $342.96
44) Title: Sony XBA-H3; Points: 269 points; Price: undefined
45) Title: Onkyo IE-CTI300; Points: 268 points; Price: $128.88
46) Title: Audio-Technica ATH-PRO700MK2; Points: 270 points; Price: $150.90
47) Title: Focal Spirit One; Points: 268 points; Price: $162.37
-->48) Title: Audio-Technica ATH-CKX7iS; Points: 269 points; Price: $76.99
49) Title: Blue MO-FI; Points: 268 points
Has active noise canceling / noise reduction; Price: $349.99; NC
-->50) Title: Klipsch Image A5i Sport; Points: 268 points; Price: $57.99
-->51) Title: Creative HS-730i; Points: 269 points; Price: $59.99
52) Title: Beats by Dre Solo HD; Points: 268 points; Price: $169.95
-->53) Title: Creative WP-350; Points: 269 points; Price: $70.82
-->54) Title: Klipsch Image S4i (II); Points: 268 points; Price: $47.95
-->55) Title: Philips O'Neill SHO9561/28; Points: 269 points; Price: $49.99
-->56) Title: Jays t-JAYS Four; Points: 269 points; Price: $73.67
-->57) Title: Urbanears Kransen; Points: 268 points; Price: $33.51
58) Title: Sony MDR-10RNC; Points: 269 points
Has active noise canceling / noise reduction; Price: $180.00; NC
59) Title: Sony XBA-3; Points: 268 points; Price: undefined
-->60) Title: Philips CitiScape Downtown; Points: 268 points; Price: $36.00
61) Title: Focal Spirit Professional; Points: 266 points; Price: $349.00
62) Title: Denon AH-D340; Points: 268 points; Price: $148.97
-->63) Title: Klipsch Image X7i; Points: 266 points; Price: $5.59
64) Title: Audio-Technica ATH-CKS1000; Points: 265 points; Price: $158.49
65) Title: Klipsch Image ONE Bluetooth; Points: 266 points; Price: $339.00
66) Title: Aedle VK-1; Points: 265 points; Price: $499.00
-->67) Title: Audio-Technica ATH-CKX7; Points: 264 points; Price: $74.99
68) Title: Sony MDR-10RC; Points: 266 points; Price: $154.80
69) Title: Logitech UE 4000; Points: 266 points; Price: $279.99
-->70) Title: Sony MDR-NC13; Points: 266 points
Has active noise canceling / noise reduction; Price: $38.89; NC
71) Title: Audio-Technica ATH-M50x; Points: 266 points; Price: $169.00
72) Title: V-Moda Crossfade LP2 Special Edition; Points: 263 points; Price: undefined
73) Title: Klipsch X11i; Points: 264 points; Price: $267.49
